County Name,County Code Number,County Code text,Longitude,Latitude,Georeferenced Latitude & Longitude
Adams,1,01,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Berks,6,06,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Cambria,11,11,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Sullivan,57,57,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Mercer,43,43,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Erie,25,25,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lebanon,38,38,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Fayette,26,26,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Potter,53,53,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Chester,15,15,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Cumberland,21,21,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Montour,47,47,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Susquehanna,58,58,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Greene,30,30,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Warren,62,62,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Allegheny,2,02,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Blair,7,07,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Venango,61,61,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Fulton,29,29,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Lehigh,39,39,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Dauphin,22,22,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Juniata,34,34,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Wyoming,66,66,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Butler,10,10,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Schuylkill,54,54,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Centre,14,14,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
McKean,42,42,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Armstrong,3,03,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Jefferson,33,33,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lackawanna,35,35,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Montgomery,46,46,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Westmoreland,65,65,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Clinton,18,18,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Delaware,23,23,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Monroe,45,45,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Union,60,60,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Franklin,28,28,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Carbon,13,13,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Snyder,55,55,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Perry,50,50,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bradford,8,08,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Luzerne,40,40,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
York,67,67,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Beaver,4,04,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lancaster,36,36,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Northumberland,49,49,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Wayne,64,64,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Columbia,19,19,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Philadelphia,51,51,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Pennsylvania,0,00,-75.167756,39.346129,POINT (-75.167756 39.346129)
Clearfield,17,17,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Indiana,32,32,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Cameron,12,12,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Mifflin,44,44,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lycoming,41,41,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Forest,27,27,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Somerset,56,56,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Elk,24,24,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Bucks,9,09,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Tioga,59,59,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Lawrence,37,37,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Huntingdon,31,31,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Pike,52,52,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Crawford,20,20,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Bedford,5,05,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Northampton,48,48,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clarion,16,16,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Washington,63,63,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
