city,latitude,longitude,country,population
Shanghai,31.222222,121.458056,China,14987000.0
Beijing,39.928819,116.388869,China,11106000.0
Guangzhou,23.116667,113.25,China,8829000.0
Shenzhen,22.533333,114.13333300000001,China,7581000.0
Wuhan,30.583333000000003,114.266667,China,7243000.0
Tianjin,39.142222,117.176667,China,7180000.0
Chongqing,29.562778,106.552778,China,6461000.0
Shenyang,41.792221999999995,123.432778,China,4787000.0
Dongguan,23.048889000000003,113.744722,China,4528000.0
Chengdu,30.666666999999997,104.06666700000001,China,4123000.0
Lianhu,34.258479,108.924205,China,4009000.0
Hechi,23.0027,109.84,China,3830000.0
Nanjing,32.061667,118.777778,China,3679000.0
Guiyang,26.583333000000003,106.71666699999999,China,3662000.0
Harbin,45.75,126.65,China,3621000.0
Zhangzhou,24.513333,117.655556,China,3531147.0
Changchun,43.88,125.322778,China,3183000.0
Dalian,38.912222,121.602222,China,3167000.0
Zibo,36.790556,118.06333300000001,China,3061000.0
Hangzhou,30.29365,120.161419,China,3007000.0
Kunming,25.038889,102.718333,China,2931000.0
Taiyuan,37.869444,112.560278,China,2913000.0
Qingdao,36.066049,120.36939299999999,China,2866000.0
Jinan,36.668333000000004,116.997222,China,2798000.0
Zhengzhou,34.683611,113.5325,China,2636000.0
Fuzhou,26.061389000000002,119.30611100000002,China,2606000.0
Changsha,28.2,112.96666699999999,China,2604000.0
Xiangtandong,27.866667,112.933333,China,2586948.0
Lanzhou,36.057006,103.83986800000001,China,2561000.0
Xiamen,24.479794000000002,118.081869,China,2519000.0
Jinjiao,40.743394,120.816702,China,2426000.0
Shijiazhuang,38.041389,114.47861100000001,China,2417000.0
Jilin,43.850833,126.560278,China,2396000.0
Wenzhou,27.999415999999997,120.66682,China,2350000.0
Nanchangshi,28.655758000000002,115.905049,China,2350000.0
Nanchong,30.795075,106.08473500000001,China,2174000.0
Nanning,22.816667000000002,108.316667,China,2167000.0
Ürümqi,43.807347,87.63050600000001,China,2151000.0
Daguozhuangcun,34.906549,117.60353,China,2145000.0
Yantai,37.533333,121.4,China,2116000.0
Linyi,35.063056,118.34277800000001,China,2082000.0
Haikou,20.045833,110.34166699999999,China,2046189.0
