date,year,month,day,time,country,latitude,longitude,depth,magnitude,secondary_effects,deaths,continent,log_deaths
1901-02-15 00:00:00,1901,2,15,00:00:00,China,26.0,100.1,0.0,6.5,,0,Asia,-inf
1902-07-03 15:36:00,1902,7,3,15:36:00,China,43.2,129.6,20.0,6.7,,0,Asia,-inf
1902-08-22 03:00:00,1902,8,22,03:00:00,China,40.0,77.0,0.0,7.7,,5650,Asia,8.639410824140487
1904-08-30 11:42:00,1904,8,30,11:42:00,China,30.0,101.0,0.0,6.8,,565,Asia,6.336825731146441
1906-12-22 18:21:00,1906,12,22,18:21:00,China,43.5,85.0,0.0,7.2,,285,Asia,5.652489180268651
1909-05-11 15:54:00,1909,5,11,15:54:00,China,24.4,103.0,,6.5,,19,Asia,2.9444389791664403
1910-01-08 14:49:00,1910,1,8,14:49:00,China,35.0,122.0,0.0,6.8,,1,Asia,0.0
1913-12-21 15:37:00,1913,12,21,15:37:00,China,24.5,102.0,0.0,7.2,,1314,Asia,7.1808311990445555
1914-08-04 22:41:00,1914,8,4,22:41:00,China,43.5,91.5,0.0,7.2,,0,Asia,-inf
1915-12-03 02:39:00,1915,12,3,02:39:00,China,29.5,91.5,0.0,7.0,,170,Asia,5.135798437050262
1917-01-24 00:48:00,1917,1,24,00:48:00,China,31.0,114.0,0.0,6.5,,0,Asia,-inf
1917-07-30 23:54:00,1917,7,30,23:54:00,China,29.0,104.0,0.0,7.3,,1879,Asia,7.538494999413465
1918-02-13 06:07:00,1918,2,13,06:07:00,China,23.54,117.243,15.0,7.2,,10000,Asia,9.210340371976184
1920-12-16 12:05:00,1920,12,16,12:05:00,China,36.601,105.317,25.0,8.6,,235502,Asia,12.36947468497155
1923-03-24 12:40:00,1923,3,24,12:40:00,China,30.553,101.258,25.0,7.2,,5000,Asia,8.517193191416238
1924-07-03 04:40:00,1924,7,3,04:40:00,China,36.632,83.90299999999998,35.0,7.1,,255,Asia,5.541263545158426
1925-03-16 14:42:00,1925,3,16,14:42:00,China,25.688,100.494,25.0,7.0,,5808,Asia,8.666991556504632
1927-03-20 00:00:00,1927,3,20,00:00:00,China,24.1,102.0,,5.0,,7,Asia,1.9459101490553132
1927-05-22 22:32:00,1927,5,22,22:32:00,China,37.386,102.311,25.0,7.9,,200000,Asia,12.206072645530174
1930-05-14 19:48:00,1930,5,14,19:48:00,China,26.8,103.0,,6.0,,42,Asia,3.7376696182833684
1931-08-10 21:18:00,1931,8,10,21:18:00,China,46.57100000000001,89.965,35.0,7.9,,10000,Asia,9.210340371976184
1932-04-06 09:11:00,1932,4,6,09:11:00,China,31.4,115.0,15.0,6.0,,6,Asia,1.791759469228055
1932-12-25 02:04:00,1932,12,25,02:04:00,China,39.771,96.69,25.0,7.6,,275,Asia,5.616771097666572
1933-08-25 07:50:00,1933,8,25,07:50:00,China,31.81,103.541,25.0,7.3,,6865,Asia,8.834191318202071
1934-01-12 13:31:00,1934,1,12,13:31:00,China,23.7,102.7,,6.0,,1,Asia,0.0
1935-04-28 00:00:00,1935,4,28,00:00:00,China,29.4,102.3,,6.0,,2,Asia,0.6931471805599453
1936-02-07 08:56:00,1936,2,7,08:56:00,China,35.633,103.265,25.0,6.8,,42,Asia,3.7376696182833684
1936-04-26 23:59:00,1936,4,26,23:59:00,China,28.733,103.497,25.0,6.8,,0,Asia,-inf
1936-05-16 07:05:00,1936,5,16,07:05:00,China,28.675,103.684,25.0,6.8,,550,Asia,6.309918278226516
1936-08-01 06:24:00,1936,8,1,06:24:00,China,34.2,105.7,,6.0,,144,Asia,4.969813299576001
1936-08-17 00:00:00,1936,8,17,00:00:00,China,26.6,103.0,,5.5,,30,Asia,3.4011973816621555
1937-07-31 20:35:00,1937,7,31,20:35:00,China,35.25199999999999,115.153,25.0,6.9,,3833,Asia,8.251403065380556
