city,state,county_name,latitude,longitude,population,density,source,zips
Nashville,Tennessee,Davidson,36.1715,-86.7843,1081903.0,544.0,polygon,37027 37138 37076 37072 37205 37201 37206 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37204 37207 37203 37115 37013 37228 37221 37220 37143 37011 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37241 37242 37244 37250
Memphis,Tennessee,Shelby,35.1046,-89.9773,1066967.0,792.0,polygon,38120 38127 38107 38106 38105 38104 38103 38109 38108 38152 38132 38133 38131 38134 38141 38112 38111 38114 38115 38116 38117 38118 38119 38018 38016 38128 38122 38125 38126 37501 37544 38101 38113 38124 38130 38136 38145 38148 38150 38151 38157 38159 38161 38163 38166 38167 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38188 38190 38193 38194 38197
Knoxville,Tennessee,Knox,35.9692,-83.9496,586048.0,733.0,polygon,37918 37912 37909 37902 37924 37920 37921 37922 37923 37919 37915 37914 37917 37916 37901 37927 37928 37929 37930 37933 37939 37940 37950 37995 37996 37997
Chattanooga,Tennessee,Hamilton,35.0657,-85.2488,415501.0,493.0,polygon,37415 37416 37410 37411 37419 37409 37421 37363 37408 37403 37402 37407 37405 37406 37404 37343 37351 37350 37401 37414 37422 37424 37450
Clarksville,Tennessee,Montgomery,36.5695,-87.342,188746.0,618.0,polygon,42223 37043 37042 37040 37044
Murfreesboro,Tennessee,Rutherford,35.8492,-86.4119,179951.0,919.0,polygon,37132 37130 37129 37128 37127 37131 37133
Johnson City,Tennessee,Washington,36.3406,-82.3803,127571.0,599.0,polygon,37614 37615 37601 37604 37602 37684
Kingsport,Tennessee,Sullivan,36.5224,-82.5453,119666.0,397.0,polygon,37660 37664 37663 37665 37662 37669
Franklin,Tennessee,Williamson,35.9216,-86.8525,83097.0,771.0,polygon,37069 37064 37067 37065 37068
Jackson,Tennessee,Madison,35.6535,-88.8353,74065.0,444.0,polygon,38305 38301 38302 38303 38308 38314
Cleveland,Tennessee,Bradley,35.1817,-84.8707,73596.0,648.0,polygon,37312 37311 37320
Bristol,Tennessee,Sullivan,36.5572,-82.2154,70243.0,318.0,polygon,37620 37621 37625
Morristown,Tennessee,Hamblen,36.2046,-83.3006,61171.0,426.0,polygon,37813 37814 37778 37815 37816
Bartlett,Tennessee,Shelby,35.2337,-89.8195,59440.0,710.0,polygon,38002 38133 38134 38135 38029
Hendersonville,Tennessee,Sumner,36.3063,-86.5998,58113.0,714.0,polygon,37075 37077
Smyrna,Tennessee,Rutherford,35.9722,-86.5253,51586.0,657.0,polygon,37167
Collierville,Tennessee,Shelby,35.0471,-89.6988,51040.0,544.0,polygon,38139 38017 38027
Cookeville,Tennessee,Putnam,36.1484,-85.5114,50408.0,378.0,polygon,38501 38506 38505 38502 38503
Spring Hill,Tennessee,Maury,35.7438,-86.9116,47042.0,630.0,polygon,37174 37179
Gallatin,Tennessee,Sumner,36.3782,-86.4696,42918.0,520.0,polygon,37066
Brentwood,Tennessee,Williamson,35.9918,-86.7758,42783.0,401.0,polygon,37027 37024
Columbia,Tennessee,Maury,35.6235,-87.0486,40663.0,472.0,polygon,38401 38402
Germantown,Tennessee,Shelby,35.0829,-89.7825,39225.0,757.0,polygon,38138 38139 38183
Lebanon,Tennessee,Wilson,36.204,-86.3481,38518.0,355.0,polygon,37090 37087 37088
Mount Juliet,Tennessee,Wilson,36.1991,-86.5114,37029.0,574.0,polygon,37122 37121
La Vergne,Tennessee,Rutherford,36.0203,-86.5582,35716.0,561.0,polygon,37086 37089
Maryville,Tennessee,Blount,35.7468,-83.9789,29742.0,665.0,polygon,37803 37804 37801 37802
Oak Ridge,Tennessee,Anderson,35.9639,-84.2938,29156.0,132.0,polygon,37830 37831
Sevierville,Tennessee,Sevier,35.8873,-83.5677,25557.0,275.0,polygon,37862 37764 37876 37864
Farragut,Tennessee,Knox,35.8731,-84.1822,23778.0,574.0,polygon,37934
Greeneville,Tennessee,Greene,36.168,-82.8197,23683.0,338.0,polygon,37745 37743 37744
Harriman,Tennessee,Roane,35.9307,-84.5602,22708.0,225.0,polygon,37748
Shelbyville,Tennessee,Bedford,35.4987,-86.4516,21741.0,462.0,polygon,37160 37161 37162
Atoka,Tennessee,Tipton,35.4239,-89.7861,21428.0,303.0,polygon,38004
East Ridge,Tennessee,Hamilton,34.9973,-85.2284,21182.0,987.0,polygon,37412
Dyersburg,Tennessee,Dyer,36.0465,-89.3777,20839.0,363.0,polygon,38024 38025
La Follette,Tennessee,Campbell,36.3718,-84.1256,18884.0,525.0,polygon,37766
Springfield,Tennessee,Robertson,36.4943,-86.8709,18241.0,516.0,polygon,37172
Tullahoma,Tennessee,Coffee,35.3721,-86.2173,18082.0,322.0,polygon,37360 37388
Crossville,Tennessee,Cumberland,35.9527,-85.0294,17825.0,222.0,polygon,38571 38555
Dickson,Tennessee,Dickson,36.064,-87.3668,17157.0,299.0,polygon,37029 37055 37056
Goodlettsville,Tennessee,Davidson,36.3327,-86.7029,16798.0,453.0,polygon,37072 37070
Athens,Tennessee,McMinn,35.4573,-84.6045,16651.0,349.0,polygon,37303 37371
McMinnville,Tennessee,Warren,35.6863,-85.7812,15570.0,480.0,polygon,37110
Soddy-Daisy,Tennessee,Hamilton,35.2571,-85.1739,13619.0,227.0,polygon,37343 37379
Elizabethton,Tennessee,Carter,36.3367,-82.2369,13509.0,545.0,polygon,37643 37682
Lakeland,Tennessee,Shelby,35.2585,-89.7308,12642.0,207.0,polygon,38002 38014
White House,Tennessee,Sumner,36.4648,-86.6665,12638.0,435.0,polygon,37188
Manchester,Tennessee,Coffee,35.463,-86.0774,12433.0,298.0,polygon,37355
Portland,Tennessee,Sumner,36.5883,-86.5194,12335.0,377.0,polygon,37148
Winchester,Tennessee,Franklin,35.1898,-86.1074,12299.0,323.0,polygon,37398
Middle Valley,Tennessee,Hamilton,35.1877,-85.1958,12097.0,478.0,polygon,37343
Red Bank,Tennessee,Hamilton,35.1117,-85.2961,11840.0,696.0,polygon,37415 37405
Arlington,Tennessee,Shelby,35.2594,-89.668,11728.0,197.0,polygon,38002 38028
Lewisburg,Tennessee,Marshall,35.4494,-86.7897,11658.0,353.0,polygon,37091
Newport,Tennessee,Cocke,35.9617,-83.1977,11500.0,480.0,polygon,37821 37822
Collegedale,Tennessee,Hamilton,35.0525,-85.0487,11378.0,364.0,polygon,37302 37363 37315
Hartsville,Tennessee,Trousdale,36.3921,-86.1568,11284.0,38.0,polygon,37022 37074 37057 37031
Seymour,Tennessee,Sevier,35.8761,-83.7742,10873.0,332.0,polygon,37865
Lawrenceburg,Tennessee,Lawrence,35.2497,-87.3325,10688.0,336.0,polygon,38464
Millington,Tennessee,Shelby,35.335,-89.8991,10641.0,183.0,polygon,38053 38054 38055 38083
Paris,Tennessee,Henry,36.2934,-88.3065,10536.0,300.0,polygon,38242
Martin,Tennessee,Weakley,36.3386,-88.8513,10415.0,326.0,polygon,38237 38238
Dayton,Tennessee,Rhea,35.4912,-85.012,10410.0,364.0,polygon,37321
Clinton,Tennessee,Anderson,36.0981,-84.1283,10075.0,334.0,polygon,37716 37717
Nolensville,Tennessee,Williamson,35.9572,-86.672,10062.0,372.0,polygon,37135
Alcoa,Tennessee,Blount,35.8073,-83.9752,9980.0,258.0,polygon,37701 37777 37804
Union City,Tennessee,Obion,36.4268,-89.0474,9763.0,330.0,polygon,38261 38281
Erwin,Tennessee,Unicoi,36.1456,-82.4115,9500.0,553.0,polygon,37650
Fayetteville,Tennessee,Lincoln,35.149,-86.5634,9473.0,282.0,polygon,37334
Lenoir City,Tennessee,Loudon,35.811,-84.2818,9324.0,428.0,polygon,37771 37772
Brownsville,Tennessee,Haywood,35.589,-89.2578,9055.0,369.0,polygon,38012
Oakland,Tennessee,Fayette,35.2256,-89.5372,8891.0,318.0,polygon,38060 38028
Bloomingdale,Tennessee,Sullivan,36.5793,-82.5096,8660.0,338.0,polygon,37660
Signal Mountain,Tennessee,Hamilton,35.1449,-85.3457,8606.0,397.0,polygon,37377
Fairfield Glade,Tennessee,Cumberland,36.0028,-84.8711,8564.0,143.0,polygon,38558 38557
Humboldt,Tennessee,Gibson,35.8254,-88.9043,8456.0,325.0,polygon,38343
Covington,Tennessee,Tipton,35.5661,-89.6482,8383.0,300.0,polygon,38019
Savannah,Tennessee,Hardin,35.221,-88.236,8288.0,402.0,polygon,38372
Jefferson City,Tennessee,Jefferson,36.1197,-83.4838,8194.0,479.0,polygon,37760
South Cleveland,Tennessee,Bradley,35.1097,-84.9097,8069.0,218.0,polygon,37311 37323
Ripley,Tennessee,Lauderdale,35.7449,-89.5358,8045.0,232.0,polygon,38063
Harrison,Tennessee,Hamilton,35.1276,-85.1464,7555.0,451.0,polygon,37416 37341
Fairview,Tennessee,Williamson,35.9815,-87.1291,7549.0,203.0,polygon,37062
Pulaski,Tennessee,Giles,35.1933,-87.035,7472.0,390.0,polygon,38478
Milan,Tennessee,Gibson,35.9126,-88.7554,7201.0,329.0,polygon,38358
Greenbrier,Tennessee,Robertson,36.4239,-86.7976,6852.0,373.0,polygon,37073
Millersville,Tennessee,Sumner,36.3968,-86.7111,6769.0,189.0,polygon,37072
Lexington,Tennessee,Henderson,35.6618,-88.3945,6763.0,260.0,polygon,38351
Green Hill,Tennessee,Wilson,36.2349,-86.5733,6695.0,744.0,polygon,37138
Church Hill,Tennessee,Hawkins,36.5204,-82.715,6664.0,272.0,polygon,37642
Thompson's Station,Tennessee,Williamson,35.809,-86.8994,6567.0,128.0,polygon,37064 37179
Lynchburg,Tennessee,Moore,35.2846,-86.3587,6488.0,19.0,polygon,37334 37388 37359 37352
Rogersville,Tennessee,Hawkins,36.4081,-83.0043,6380.0,449.0,polygon,37857
Pigeon Forge,Tennessee,Sevier,35.7977,-83.5623,6266.0,181.0,polygon,37863
Munford,Tennessee,Tipton,35.4433,-89.8148,6109.0,259.0,polygon,38058
Henderson,Tennessee,Chester,35.4446,-88.6531,6073.0,314.0,polygon,38340
Kingston,Tennessee,Roane,35.8713,-84.4959,5994.0,326.0,polygon,37763
Loudon,Tennessee,Loudon,35.7413,-84.3704,5890.0,181.0,polygon,37774
Madisonville,Tennessee,Monroe,35.5233,-84.363,5890.0,323.0,polygon,37354
Dandridge,Tennessee,Jefferson,36.0285,-83.4308,5647.0,210.0,polygon,37725
Tellico Village,Tennessee,Loudon,35.6977,-84.2661,5612.0,290.0,polygon,37774
Jonesborough,Tennessee,Washington,36.2959,-82.4766,5611.0,420.0,polygon,37659
Sweetwater,Tennessee,Monroe,35.6029,-84.4717,5553.0,257.0,polygon,37874
Sparta,Tennessee,White,35.9347,-85.4726,5476.0,284.0,polygon,38583
South Pittsburg,Tennessee,Marion,35.0111,-85.7183,5439.0,142.0,polygon,37380
Rockwood,Tennessee,Roane,35.8693,-84.6731,5425.0,261.0,polygon,37854
Lafayette,Tennessee,Macon,36.5242,-86.0307,5417.0,393.0,polygon,37083
Mount Carmel,Tennessee,Hawkins,36.562,-82.6618,5294.0,307.0,polygon,37645
Eagleton Village,Tennessee,Blount,35.7885,-83.9363,5250.0,688.0,polygon,37804
McKenzie,Tennessee,Carroll,36.1371,-88.5077,5070.0,324.0,polygon,38201
Bolivar,Tennessee,Hardeman,35.2645,-89.0118,4914.0,234.0,polygon,38008
Forest Hills,Tennessee,Davidson,36.0651,-86.8403,4820.0,201.0,polygon,37215
Bells,Tennessee,Crockett,35.7203,-89.0859,4772.0,397.0,polygon,38006
Oak Grove,Tennessee,Washington,36.4223,-82.4293,4709.0,405.0,polygon,37615
Coopertown,Tennessee,Robertson,36.4143,-86.9658,4586.0,56.0,polygon,37073 37172 37146
Oak Hill,Tennessee,Davidson,36.0735,-86.7856,4516.0,222.0,polygon,37204 37220
Spurgeon,Tennessee,Sullivan,36.443,-82.4621,4482.0,423.0,polygon,37615 37663
Medina,Tennessee,Gibson,35.8152,-88.7901,4474.0,412.0,polygon,38355
Algood,Tennessee,Putnam,36.1999,-85.4467,4463.0,422.0,polygon,38506
Whiteville,Tennessee,Hardeman,35.318,-89.1498,4456.0,652.0,polygon,38075
Smithville,Tennessee,DeKalb,35.9584,-85.8211,4367.0,322.0,polygon,37166
Harrogate,Tennessee,Claiborne,36.5752,-83.6462,4348.0,231.0,polygon,37752
