state,county,year,pop_estimate
Tennessee,Anderson County,2010,75098
Tennessee,Anderson County,2011,75209
Tennessee,Anderson County,2012,75225
Tennessee,Anderson County,2013,75299
Tennessee,Anderson County,2014,75157
Tennessee,Anderson County,2015,75456
Tennessee,Anderson County,2016,75528
Tennessee,Anderson County,2017,76056
Tennessee,Anderson County,2018,76287
Tennessee,Anderson County,2019,76978
Tennessee,Bedford County,2010,45078
Tennessee,Bedford County,2011,45247
Tennessee,Bedford County,2012,45254
Tennessee,Bedford County,2013,45565
Tennessee,Bedford County,2014,46251
Tennessee,Bedford County,2015,46948
Tennessee,Bedford County,2016,47442
Tennessee,Bedford County,2017,48211
Tennessee,Bedford County,2018,49146
Tennessee,Bedford County,2019,49713
Tennessee,Benton County,2010,16511
Tennessee,Benton County,2011,16529
Tennessee,Benton County,2012,16445
Tennessee,Benton County,2013,16360
Tennessee,Benton County,2014,16197
Tennessee,Benton County,2015,16220
Tennessee,Benton County,2016,16082
Tennessee,Benton County,2017,15993
Tennessee,Benton County,2018,16246
Tennessee,Benton County,2019,16160
Tennessee,Bledsoe County,2010,12884
Tennessee,Bledsoe County,2011,12992
Tennessee,Bledsoe County,2012,12926
Tennessee,Bledsoe County,2013,13910
Tennessee,Bledsoe County,2014,14501
Tennessee,Bledsoe County,2015,14601
Tennessee,Bledsoe County,2016,14738
Tennessee,Bledsoe County,2017,14895
Tennessee,Bledsoe County,2018,14883
Tennessee,Bledsoe County,2019,15064
Tennessee,Blount County,2010,123199
Tennessee,Blount County,2011,123664
Tennessee,Blount County,2012,124024
Tennessee,Blount County,2013,124874
Tennessee,Blount County,2014,125847
Tennessee,Blount County,2015,126954
Tennessee,Blount County,2016,128264
Tennessee,Blount County,2017,129999
Tennessee,Blount County,2018,131331
Tennessee,Blount County,2019,133088
Tennessee,Bradley County,2010,99083
Tennessee,Bradley County,2011,99798
Tennessee,Bradley County,2012,101049
Tennessee,Bradley County,2013,101778
Tennessee,Bradley County,2014,102771
Tennessee,Bradley County,2015,103774
Tennessee,Bradley County,2016,104390
Tennessee,Bradley County,2017,105421
Tennessee,Bradley County,2018,107050
Tennessee,Bradley County,2019,108110
Tennessee,Campbell County,2010,40735
Tennessee,Campbell County,2011,40688
Tennessee,Campbell County,2012,40532
Tennessee,Campbell County,2013,40247
Tennessee,Campbell County,2014,39893
Tennessee,Campbell County,2015,39772
Tennessee,Campbell County,2016,39784
Tennessee,Campbell County,2017,39791
Tennessee,Campbell County,2018,39795
Tennessee,Campbell County,2019,39842
Tennessee,Cannon County,2010,13797
Tennessee,Cannon County,2011,13724
