date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths
1900-05-11 17:23,Japan,38.7,141.1,5.0,7.0 MJMA,,0,0,0,0,0
1900-07-12 06:25,Turkey,40.3,43.1,,5.9 Muk,,0,0,140,0,0
1900-10-29 09:11,Venezuela,11.0,-66.0,0.0,7.7 Mw,,0,0,0,0,0
1901-02-15 00:00,China,26.0,100.1,0.0,6.5 Ms,,0,0,0,0,0
1901-03-31 07:11,Bulgaria,43.4,28.7,,6.4 Muk,,0,0,4,0,0
1901-08-09 09:23,Japan,40.5,142.5,35.0,7.2 Mw,T,0,0,0,0,0
1901-11-15 20:15,New Zealand (see 1901 Cheviot earthquake),-43.0,173.0,0.0,6.8 Ms,,0,0,1,0,0
1902-01-30 14:01,Japan,40.5,141.3,35.0,6.9 Ms,,0,0,1,0,0
1902-02-13 09:39,Azerbaijan,40.7,48.6,15.0,6.9 Muk,,0,0,86,0,0
1902-03-09 07:46,Turkey,40.7,33.6,,5.5 Muk,,0,0,4,0,0
1902-04-19 02:23,Guatemala (see 1902 Guatemala earthquake),14.0,-91.0,0.0,7.5 Mw,,0,0,2000,2000,0
1902-07-03 15:36,China,43.2,129.6,20.0,6.7 Ms,,0,0,0,0,0
1902-08-22 03:00,China,40.0,77.0,0.0,7.7 Mw,,0,0,5650,0,0
1902-09-19,Australia,-35.0,138.0,2.0,6.0 ML,,0,0,2,0,0
1902-12-16 05:07,Uzbekistan (see 1902 Andijan earthquake),40.8,72.3,9.0,6.4 Muk,,0,0,4725,0,0
1903-03-29 22:30,Palestine,32.2,35.3,,5.7 Muk,,0,0,20,0,0
1903-04-28,Turkey (see 1903 Manzikert earthquake),39.14,42.65,,7.0 Ms,,0,0,0,0,3500
1903-05-28 03:58,Turkey,40.9,42.7,,5.8 Muk,,0,0,1000,0,0
1903-08-11 04:32,Greece,36.36,22.97,80.0,8.3 Muk,,0,0,2,0,0
1903-09-25 01:20,Iran,35.2,58.2,,6.5 Muk,,0,0,200,0,0
1904-04-24 06:39,Taiwan,23.5,120.5,,6.0 Muk,,0,0,3,0,0
1904-08-11 05:56,Greece,37.75,27.0,10.0,6.2 Muk,,0,0,4,0,0
1904-08-30 11:42,China,30.0,101.0,0.0,6.8 Ms,,0,0,565,0,0
1904-11-05 20:25,Taiwan (see 1904 Douliu earthquake),23.5,120.3,,6.3 Muk,,0,0,145,0,0
1905-04-04 00:50,India (see 1905 Kangra earthquake),33.0,76.0,0.0,7.8 Mw,,0,0,20000,20000,0
1905-06-01 04:42,Albania,42.1,19.6,20.0,6.6 Muk,,0,0,120,0,0
1905-06-02 05:39,Japan,34.1,132.5,55.0,7.0 mb,,0,0,11,0,0
1905-09-08 01:43,Italy (see 1905 Calabria earthquake),39.0,16.0,0.0,6.8 Ms,T,0,0,557,2500,0
1905-11-08 22:06,Greece,40.0,24.0,0.0,6.8 Ms,,0,0,0,0,0
1906-01-31 15:36,Ecuador (see 1906 Ecuador–Colombia earthquake),1.0,-81.5,0.0,8.8 Muk,T,0,0,1000,400,0
1906-03-16 22:42,Taiwan (see 1906 Meishan earthquake),23.6,120.4,5.0,6.8 Ms,,0,0,1258,0,0
1906-04-13 19:18,Taiwan,23.6,120.4,5.0,7.1 MJMA,,0,0,15,0,0
1906-04-18 13:12,United States (see 1906 San Francisco earthquake),38.0,-123.0,0.0,7.8 Muk,F,0,0,700,2000,0
1906-08-17 00:40,Chile (see 1906 Valparaíso earthquake),-33.0,-72.0,0.0,8.2 Muk,T,0,0,3760,20000,0
1906-12-22 18:21,China,43.5,85.0,0.0,7.2 Mw,,0,0,285,0,0
1907-01-04 05:19,Indonesia,2.0,94.5,50.0,7.5 Mw,T,0,0,400,0,0
1907-01-14 21:36,Jamaica (see 1907 Kingston earthquake),18.2,-76.7,,6.5 Muk,T,0,0,1000,0,0
1907-04-15 06:08,Mexico,17.0,-100.0,0.0,7.9 Mw,T,0,0,28,0,0
1907-04-18 20:59,Philippines,14.0,123.0,0.0,7.1 Mw,,0,0,2,0,0
1907-10-21 04:23,Tajikistan (see 1907 Qaratog earthquake),38.0,69.0,0.0,7.2 Mw,,0,0,15000,12000,0
1908-01-11 03:35,Taiwan,23.0,121.1,5.0,6.8 Ms,,0,0,2,0,0
1908-12-28 04:20,Italy (see 1908 Messina earthquake),38.0,15.5,0.0,7.2 Ms,T,0,0,82000,75000,0
1909-01-19 04:56,Turkey,38.6,26.9,,5.8 Muk,,0,0,8,0,0
1909-01-23,Iran (see 1909 Borujerd earthquake),33.0,50.0,,7.3 Muk,,0,0,0,0,8000
1909-02-09 11:24,Turkey,40.0,38.0,60.0,6.8 Muk,,0,0,0,0,0
1909-04-14 19:53,Taiwan,25.0,122.5,5.0,7.1 mb,,0,0,9,0,0
1909-04-23 17:39,Portugal,38.9,-8.8,,6.6 Muk,,0,0,30,0,0
1909-05-11 15:54,China,24.4,103.0,,6.5 Muk,,0,0,19,0,0
