"accident_number","date_and_time","number_of_motor_vehicles","number_of_injuries","number_of_fatalities","property_damage","hit_and_run","reporting_officer","collision_type","collision_type_description","weather","weather_description","illuaccidemination","illumination_description","harmfulcodes","harmfuldescriptions","street_address","city","state","zip","rpa","precinct","lat","long","mapped_location"
"VU 130097461","2013-08-13T00:00:00.000","2","0","0",,"true","494","3",,"1","NO ADVERSE CONDITIONS","1","DAYLIGHT","12;14","MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE","POWELL AVE","NASHVILLE","TN","37204","8525","MIDTOW","36.1099","-86.7644","POINT (-86.7644 36.1099)"
"20400639785","2014-07-06T12:45:00.000","2.0000","0.0000","0.0000",,"false","473187","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 93 0 I65 N","MADISON","TN","37115","17040","MADISO","0.0000","0.0000","POINT (0 0)"
"20200648636","2020-10-13T21:40:00.000","2","0","0",,"false","887603","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","DICKERSON PKE & E TRINITY LN","NASHVILLE","TN","37207","1861","EAST","36.2055","-86.7684","POINT (-86.7684 36.2055)"
"20200648585","2020-10-13T20:50:00.000","1","1","0",,"false","212343","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","8","PEDESTRIAN","I40 W ENT RAMP & I 40","NASHVILLE","TN","37210","9007","HERMIT","36.1484","-86.7454","POINT (-86.7454 36.1484)"
"20200648556","2020-10-13T20:25:00.000","1","1","0",,"false","299243","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"2","DARK - NOT LIGHTED","30","UTILITY POLE","OLD HICKORY BLVD & OVERTON ST","OLD HICKORY","TN","37138","9711","HERMIT","36.2498","-86.6443","POINT (-86.6443 36.2498)"
"20200648531","2020-10-13T20:00:00.000","2","0","0",,"false","352186","16","Rear to Side","21","CLEAR","3","DARK - LIGHTED","14","PARKED MOTOR VEHICLE","LINBAR DR & MARGO LN","NASHVILLE","TN","37211","8707","SOUTH","36.0803","-86.6978","POINT (-86.6978 36.0803)"
"20200648526","2020-10-13T20:04:00.000","1","1","0",,"false","320603","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","8","PEDESTRIAN","OLD HICKORY BLVD & NOLENSVILLE PKE","ANTIOCH","TN","37013","8757","SOUTH","36.0455","-86.7122","POINT (-86.7122 36.0455)"
"20200648479","2020-10-13T19:32:00.000","2","3","0",,"false","240985","98","OTHER",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","EDMONDSON PKE & DERBY TRC","NASHVILLE","TN","37211","8653","MIDTOW","36.0442","-86.7441","POINT (-86.7441 36.0442)"
"20200648449","2020-10-13T19:08:00.000","3","2","0",,"false","179583","11","Front to Rear",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","GALLATIN PKES & GALLATIN PKE","MADISON","TN","37115","1517","MADISO","36.2383","-86.724","POINT (-86.724 36.2383)"
"20200648435","2020-10-13T17:52:00.000","2","0","0",,"false","4001097","6","SIDESWIPE - OPPOSITE DIRECTION",,,"7","Dark-Unknown Lighting","12","MOTOR VEHICLE IN TRANSPORT","TROUSDALE DR & TIMBERHILL DR","NASHVILLE","TN","37204","8533","MIDTOW","36.083","-86.7578","POINT (-86.7578 36.083)"
