date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1900-05-11 17:23:00,Japan,38.7,141.1,5.0,7.0,,0,0,0,0,0,1900,5,11,17:23:00
1900-07-12 06:25:00,Turkey,40.3,43.1,,5.9,,0,0,140,0,0,1900,7,12,06:25:00
1900-10-29 09:11:00,Venezuela,11.0,-66.0,0.0,7.7,,0,0,0,0,0,1900,10,29,09:11:00
1901-02-15 00:00:00,China,26.0,100.1,0.0,6.5,,0,0,0,0,0,1901,2,15,00:00:00
1901-03-31 07:11:00,Bulgaria,43.4,28.7,,6.4,,0,0,4,0,0,1901,3,31,07:11:00
1901-08-09 09:23:00,Japan,40.5,142.5,35.0,7.2,tsunami,0,0,0,0,0,1901,8,9,09:23:00
1901-11-15 20:15:00,New Zealand,-43.0,173.0,0.0,6.8,,0,0,1,0,0,1901,11,15,20:15:00
1902-01-30 14:01:00,Japan,40.5,141.3,35.0,6.9,,0,0,1,0,0,1902,1,30,14:01:00
1902-02-13 09:39:00,Azerbaijan,40.7,48.6,15.0,6.9,,0,0,86,0,0,1902,2,13,09:39:00
1902-03-09 07:46:00,Turkey,40.7,33.6,,5.5,,0,0,4,0,0,1902,3,9,07:46:00
1902-04-19 02:23:00,Guatemala,14.0,-91.0,0.0,7.5,,0,0,2000,2000,0,1902,4,19,02:23:00
1902-07-03 15:36:00,China,43.2,129.6,20.0,6.7,,0,0,0,0,0,1902,7,3,15:36:00
1902-08-22 03:00:00,China,40.0,77.0,0.0,7.7,,0,0,5650,0,0,1902,8,22,03:00:00
1902-09-19 00:00:00,Australia,-35.0,138.0,2.0,6.0,,0,0,2,0,0,1902,9,19,00:00:00
1902-12-16 05:07:00,Uzbekistan,40.8,72.3,9.0,6.4,,0,0,4725,0,0,1902,12,16,05:07:00
1903-03-29 22:30:00,Palestine,32.2,35.3,,5.7,,0,0,20,0,0,1903,3,29,22:30:00
1903-04-28 00:00:00,Turkey,39.14,42.65,,7.0,,0,0,0,0,3500,1903,4,28,00:00:00
1903-05-28 03:58:00,Turkey,40.9,42.7,,5.8,,0,0,1000,0,0,1903,5,28,03:58:00
1903-08-11 04:32:00,Greece,36.36,22.97,80.0,8.3,,0,0,2,0,0,1903,8,11,04:32:00
1903-09-25 01:20:00,Iran,35.2,58.2,,6.5,,0,0,200,0,0,1903,9,25,01:20:00
1904-04-24 06:39:00,Taiwan,23.5,120.5,,6.0,,0,0,3,0,0,1904,4,24,06:39:00
1904-08-11 05:56:00,Greece,37.75,27.0,10.0,6.2,,0,0,4,0,0,1904,8,11,05:56:00
1904-08-30 11:42:00,China,30.0,101.0,0.0,6.8,,0,0,565,0,0,1904,8,30,11:42:00
1904-11-05 20:25:00,Taiwan,23.5,120.3,,6.3,,0,0,145,0,0,1904,11,5,20:25:00
1905-04-04 00:50:00,India,33.0,76.0,0.0,7.8,,0,0,20000,20000,0,1905,4,4,00:50:00
1905-06-01 04:42:00,Albania,42.1,19.6,20.0,6.6,,0,0,120,0,0,1905,6,1,04:42:00
1905-06-02 05:39:00,Japan,34.1,132.5,55.0,7.0,,0,0,11,0,0,1905,6,2,05:39:00
1905-09-08 01:43:00,Italy,39.0,16.0,0.0,6.8,tsunami,0,0,557,2500,0,1905,9,8,01:43:00
1905-11-08 22:06:00,Greece,40.0,24.0,0.0,6.8,,0,0,0,0,0,1905,11,8,22:06:00
1906-01-31 15:36:00,Ecuador,1.0,-81.5,0.0,8.8,tsunami,0,0,1000,400,0,1906,1,31,15:36:00
1906-03-16 22:42:00,Taiwan,23.6,120.4,5.0,6.8,,0,0,1258,0,0,1906,3,16,22:42:00
1906-04-13 19:18:00,Taiwan,23.6,120.4,5.0,7.1,,0,0,15,0,0,1906,4,13,19:18:00
1906-04-18 13:12:00,United States,38.0,-123.0,0.0,7.8,fire,0,0,700,2000,0,1906,4,18,13:12:00
1906-08-17 00:40:00,Chile,-33.0,-72.0,0.0,8.2,tsunami,0,0,3760,20000,0,1906,8,17,00:40:00
1906-12-22 18:21:00,China,43.5,85.0,0.0,7.2,,0,0,285,0,0,1906,12,22,18:21:00
1907-01-04 05:19:00,Indonesia,2.0,94.5,50.0,7.5,tsunami,0,0,400,0,0,1907,1,4,05:19:00
1907-01-14 21:36:00,Jamaica,18.2,-76.7,,6.5,tsunami,0,0,1000,0,0,1907,1,14,21:36:00
1907-04-15 06:08:00,Mexico,17.0,-100.0,0.0,7.9,tsunami,0,0,28,0,0,1907,4,15,06:08:00
1907-04-18 20:59:00,Philippines,14.0,123.0,0.0,7.1,,0,0,2,0,0,1907,4,18,20:59:00
1907-10-21 04:23:00,Tajikistan,38.0,69.0,0.0,7.2,,0,0,15000,12000,0,1907,10,21,04:23:00
1908-01-11 03:35:00,Taiwan,23.0,121.1,5.0,6.8,,0,0,2,0,0,1908,1,11,03:35:00
1908-12-28 04:20:00,Italy,38.0,15.5,0.0,7.2,tsunami,0,0,82000,75000,0,1908,12,28,04:20:00
